label,nose_x,nose_y,nose_z,nose_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v,left_heel_x,left_heel_y,left_heel_z,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_v,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_v,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_v,right_knee_angle,left_knee_angle
M,0.49608492851257324,0.28690388798713684,-0.21909761428833008,0.9999957084655762,0.5002869367599487,0.3609873354434967,0.019478876143693924,0.9999775886535645,0.4364621341228485,0.37773072719573975,-0.2311563938856125,0.9999946355819702,0.45343124866485596,0.6238188147544861,0.08468154072761536,0.9998790621757507,0.4235455095767975,0.6179961562156677,-0.08451738953590393,0.9999957084655762,0.41752636432647705,0.770861029624939,0.22573986649513245,0.8942185044288635,0.5086793303489685,0.7497673630714417,-0.28502851724624634,0.9992650747299194,0.3518770933151245,0.8326880931854248,0.5189810991287231,0.9176808595657349,0.5264987945556641,0.9646171927452087,-0.2682003378868103,0.9995620846748352,0.33512312173843384,0.8359867930412292,0.5476992130279541,0.9001349210739136,0.5204790234565735,0.9907337427139282,-0.26869475841522217,0.9967584013938904,0.3703913688659668,0.8933860063552856,0.5051724314689636,0.9317606687545776,0.5669271945953369,1.0059490203857422,-0.3824620246887207,0.9989062547683716,151.87580060868166,147.00459015960163
M,0.49612635374069214,0.2869183123111725,-0.21784918010234833,0.9999957084655762,0.5002807378768921,0.3609544634819031,0.01999502070248127,0.9999774694442749,0.43646612763404846,0.37778159976005554,-0.22986188530921936,0.9999946355819702,0.4534226357936859,0.6238234043121338,0.0845324918627739,0.9998772740364075,0.4234521985054016,0.618000328540802,-0.08437075465917587,0.9999957084655762,0.4174640476703644,0.7710872292518616,0.225851908326149,0.8947267532348633,0.5086778402328491,0.7497665286064148,-0.28539592027664185,0.9992585182189941,0.3518630266189575,0.8324645161628723,0.5188729166984558,0.9180025458335876,0.5265141725540161,0.9648231267929077,-0.2705537676811218,0.9995614290237427,0.335046648979187,0.8359001278877258,0.5475891828536987,0.9008855819702148,0.5204412937164307,0.990798830986023,-0.27119070291519165,0.9967244863510132,0.3703436553478241,0.8932904601097107,0.5053246021270752,0.9319693446159363,0.5670403838157654,1.0057954788208008,-0.3848477900028229,0.9989023208618164,151.84657489996778,146.8167109934521
M,0.4961436092853546,0.2869209051132202,-0.21703895926475525,0.9999957084655762,0.500278651714325,0.36092308163642883,0.02006775699555874,0.9999773502349854,0.4364688992500305,0.3777943253517151,-0.22931110858917236,0.9999946355819702,0.45341673493385315,0.623827338218689,0.08444064110517502,0.9998763203620911,0.4234335720539093,0.6180056929588318,-0.08427991718053818,0.9999957084655762,0.41745176911354065,0.7711272239685059,0.22547927498817444,0.8944851756095886,0.5086793899536133,0.7497715353965759,-0.2854173183441162,0.9992522597312927,0.3518601953983307,0.8323982954025269,0.518195390701294,0.9176437854766846,0.5265182256698608,0.964843213558197,-0.27072402834892273,0.9995579719543457,0.33503857254981995,0.8358601927757263,0.5468944311141968,0.9005814790725708,0.5204312205314636,0.9908052086830139,-0.27136483788490295,0.9966994524002075,0.37031614780426025,0.8932752013206482,0.5049314498901367,0.9316332936286926,0.5670397877693176,1.005773901939392,-0.3848724365234375,0.998894214630127,151.8406503335136,146.77042968639176
M,0.4961467683315277,0.28691908717155457,-0.2170322984457016,0.9999957084655762,0.5002830624580383,0.3609186112880707,0.020086027681827545,0.9999773502349854,0.4364764094352722,0.3778004050254822,-0.22928129136562347,0.9999946355819702,0.45341500639915466,0.6238284111022949,0.08442911505699158,0.9998763203620911,0.4234274625778198,0.6180065274238586,-0.0842684879899025,0.9999957084655762,0.4174477458000183,0.7711401581764221,0.22543925046920776,0.894592821598053,0.5086809396743774,0.7497751712799072,-0.2854730784893036,0.9992518424987793,0.3518582880496979,0.8323337435722351,0.5183680653572083,0.9177055358886719,0.5265185236930847,0.9648421406745911,-0.2707136869430542,0.9995577335357666,0.33503440022468567,0.8358443975448608,0.547114372253418,0.9006434082984924,0.5204288959503174,0.9907673597335815,-0.27135488390922546,0.9966951012611389,0.37031275033950806,0.8932503461837769,0.5051562786102295,0.931661069393158,0.5669788718223572,1.005758285522461,-0.384866863489151,0.9988939166069031,151.83863031777528,146.73496421884155
M,0.4961644113063812,0.2869085371494293,-0.21676364541053772,0.9999957084655762,0.5002835988998413,0.3609040379524231,0.02015773020684719,0.9999772310256958,0.4364878535270691,0.37780800461769104,-0.229221373796463,0.9999946355819702,0.45340877771377563,0.6238282918930054,0.08441120386123657,0.9998759031295776,0.4234163463115692,0.6180047988891602,-0.08425064384937286,0.9999957084655762,0.4174390733242035,0.7711684107780457,0.2253938615322113,0.8945214748382568,0.5086838006973267,0.7497784495353699,-0.2855703830718994,0.9992493987083435,0.35185110569000244,0.8322974443435669,0.5184327363967896,0.9176762104034424,0.5265191197395325,0.9648339152336121,-0.27073684334754944,0.9995560050010681,0.33502835035324097,0.835831880569458,0.5471977591514587,0.9006028771400452,0.5204207897186279,0.9907079339027405,-0.27135294675827026,0.9966866970062256,0.3703014850616455,0.893210232257843,0.5052739381790161,0.9315744042396545,0.5669324398040771,1.0057302713394165,-0.384813517332077,0.9988906383514404,151.8349923809357,146.7038057979698
M,0.4961705505847931,0.28690305352211,-0.21676546335220337,0.9999957084655762,0.5002837181091309,0.36089470982551575,0.020158076658844948,0.9999772310256958,0.4364926815032959,0.377811461687088,-0.22922392189502716,0.9999946355819702,0.45340627431869507,0.623828113079071,0.08440379053354263,0.9998759627342224,0.4234103560447693,0.6180036067962646,-0.08424318581819534,0.9999957084655762,0.41743478178977966,0.771181583404541,0.22538413107395172,0.8946254253387451,0.5086860656738281,0.7497803568840027,-0.28567394614219666,0.9992501735687256,0.3518494963645935,0.8322848677635193,0.5184990763664246,0.9177955389022827,0.5265204310417175,0.9648354053497314,-0.27074721455574036,0.999556303024292,0.3350251317024231,0.8358252644538879,0.547274649143219,0.9007142782211304,0.5204182267189026,0.9907029271125793,-0.2713555693626404,0.9966896176338196,0.37029361724853516,0.893201470375061,0.5053327679634094,0.9316381812095642,0.5669335126876831,1.005717158317566,-0.38483303785324097,0.9988914728164673,151.8328338805239,146.6923947476495
M,0.4961828589439392,0.2868973910808563,-0.21678492426872253,0.9999957084655762,0.500285804271698,0.3608812093734741,0.02013874612748623,0.9999772310256958,0.43649956583976746,0.37781625986099243,-0.22922316193580627,0.9999946355819702,0.4533984959125519,0.6238295435905457,0.08438828587532043,0.999876081943512,0.42340102791786194,0.618002712726593,-0.08422766625881195,0.9999957084655762,0.41742876172065735,0.7712070941925049,0.22539383172988892,0.8948636651039124,0.5086911916732788,0.7497837543487549,-0.285748690366745,0.9992520809173584,0.3518422245979309,0.8322474956512451,0.5188459157943726,0.9179770350456238,0.5265210270881653,0.9648252725601196,-0.27073854207992554,0.9995568990707397,0.335020512342453,0.8358116149902344,0.5476593375205994,0.9008615612983704,0.5204145908355713,0.9906694293022156,-0.2713456451892853,0.9966944456100464,0.3702825903892517,0.8931676745414734,0.5056790709495544,0.9317309856414795,0.5669101476669312,1.005679726600647,-0.3848250210285187,0.998893141746521,151.82835382368145,146.6596248205774
M,0.49618929624557495,0.2868894636631012,-0.21677759289741516,0.9999957084655762,0.5002856254577637,0.3608741760253906,0.020139368250966072,0.9999772310256958,0.4365040063858032,0.3778187930583954,-0.2292327880859375,0.9999946355819702,0.45339155197143555,0.6238301992416382,0.08438216894865036,0.9998761415481567,0.42339563369750977,0.6180030107498169,-0.08422159403562546,0.9999957084655762,0.4174262583255768,0.7712168097496033,0.22539392113685608,0.8949739336967468,0.5086945295333862,0.7497886419296265,-0.2857610583305359,0.9992527961730957,0.35183966159820557,0.8322333097457886,0.5189923048019409,0.918016791343689,0.5265209078788757,0.9648222327232361,-0.2706868648529053,0.9995570182800293,0.33501479029655457,0.8358080983161926,0.547825276851654,0.900877833366394,0.5204118490219116,0.9906559586524963,-0.27127793431282043,0.9966962933540344,0.3702777922153473,0.8931538462638855,0.505833625793457,0.9317448735237122,0.5668967962265015,1.0056599378585815,-0.3847825527191162,0.9988933801651001,151.82584749531546,146.64596761843987
M,0.49619925022125244,0.2868732213973999,-0.21699634194374084,0.9999957084655762,0.5002877116203308,0.3608599901199341,0.020035797730088234,0.9999772906303406,0.4365116357803345,0.3778231143951416,-0.22938285768032074,0.9999946355819702,0.4533836841583252,0.6238264441490173,0.08436872810125351,0.9998765587806702,0.4233851730823517,0.6179995536804199,-0.08420827239751816,0.9999957084655762,0.4174174964427948,0.7712355256080627,0.22553172707557678,0.8953639268875122,0.5087007880210876,0.7498012781143188,-0.2857973873615265,0.9992578029632568,0.35183608531951904,0.8321994543075562,0.5195223689079285,0.9183400869369507,0.5265270471572876,0.9648343920707703,-0.2706845998764038,0.9995595216751099,0.3350059390068054,0.8357807397842407,0.5483759045600891,0.9011532664299011,0.5204119682312012,0.9906737208366394,-0.27127259969711304,0.9967132806777954,0.3702695667743683,0.8931379914283752,0.5062273740768433,0.9319708943367004,0.5669347643852234,1.0055991411209106,-0.38490328192710876,0.9988986849784851,151.82389554149086,146.62191478796518
M,0.4962024688720703,0.2868684232234955,-0.2171444147825241,0.9999957084655762,0.5002884864807129,0.36085307598114014,0.019974954426288605,0.9999773502349854,0.43651318550109863,0.3778284192085266,-0.2294279932975769,0.9999946355819702,0.45337995886802673,0.623823881149292,0.08436420559883118,0.9998769164085388,0.4233805537223816,0.6179987788200378,-0.08420376479625702,0.9999957084655762,0.4174140691757202,0.7712445259094238,0.22572484612464905,0.8956149220466614,0.5087038278579712,0.7498056888580322,-0.28580328822135925,0.9992609620094299,0.351834774017334,0.8321803212165833,0.5198773145675659,0.9185768961906433,0.526530385017395,0.964836835861206,-0.2706875801086426,0.999561071395874,0.3350027799606323,0.8357648849487305,0.5487318634986877,0.9013490676879883,0.5204122066497803,0.9906744956970215,-0.2712767720222473,0.9967221021652222,0.37026500701904297,0.893129289150238,0.5065048933029175,0.9321462512016296,0.5669474005699158,1.005574107170105,-0.38498827815055847,0.9989021420478821,151.8226995451592,146.6085044153945
